date,matchup,side,type,risk,result,profit,odds,home_score,away_score
2026-02-19,BKN @ CLE,CLE -8.5,spread,50,W,45.45,,112,84
2026-02-19,PHX @ SAS,SAS -12.5,spread,30,W,27.27,,121,94
2026-02-20,DAL @ MIN,MIN -5.5,spread,50,W,45.45,,122,111
2026-02-20,UTA @ MEM,MEM -3.5,spread,30,W,27.27,,123,114
2026-02-21,PHI @ NOP,NOP -5.0,spread,40,W,36.36,,126,111
2026-02-21,SAC @ SAS,SAS -12.5,spread,30,W,27.27,,139,122
2026-02-21,HOU @ NYK,HOU +3.5,spread,30,W,27.27,,108,106
2026-02-22,DEN @ GSW,GSW ML,ml,50,W,45.45,,128,117
2026-02-22,BOS @ LAL,BOS -7.0,spread,50,W,45.45,,89,111
2026-02-22,POR @ PHX,PHX ML,ml,50,L,-50.0,,77,92
2026-02-22,ORL @ LAC,ORL +3.5,spread,50,W,45.45,,109,111
2026-02-23,SAC @ MEM,MEM -3.0,spread,20,L,-20.0,,114,123
2026-02-23,UTA @ HOU,HOU -3.0,spread,20,W,18.18,,125,105
2026-02-24,PHI @ IND,IND +9.5,spread,50,L,-50.0,,114,135
2026-02-24,WAS @ ATL,WAS +12.5,spread,50,L,-50.0,,119,98
2026-02-24,ORL @ LAL,ORL +5.5,spread,50,W,45.45,,109,110
2026-02-24,BOS @ PHX,BOS -5.5,spread,30,W,27.27,,81,97
2026-02-25,BOS @ DEN,BOS +4.5,spread,50,L,-50.0,,103,84
2026-02-26,LAL @ PHX,LAL +3.5,spread,50,W,45.45,,113,110
2026-02-27,NYK @ MIL,NYK -8.5,spread,50,W,45.45,,98,127
2026-02-27,MEM @ DAL,MEM +5.0,spread,30,W,27.27,,105,124
2026-02-28,LAL @ GSW,LAL -4.0,spread,50,W,45.45,,101,129
2026-02-28,HOU @ MIA,MIA +2.0,spread,50,W,45.45,,115,105
2026-02-28,NOP @ UTA,NOP -6.0,spread,30,W,27.27,,118,129
2026-03-01,MIN @ DEN,MIN ML,ml,50,W,65.0,+130,108,117
2026-03-01,MIL @ CHI,CHI +3.5,spread,50,W,45.45,,120,97
2026-03-01,CLE @ BKN,BKN +12.0,spread,30,W,27.27,,102,106
2026-03-01,OKC @ DAL,DAL +15.5,spread,30,W,27.27,,87,100
2026-03-01,NOP @ LAC,NOP +8.5,spread,30,L,-30.0,,137,117
2026-03-02,BOS @ MIL,BOS -7.0,spread,30,W,27.27,,81,108
2026-03-03,SAS @ PHI,SAS -7.5,spread,50,W,45.45,,91,131
2026-03-03,PHX @ SAC,PHX -9.5,spread,30,W,27.27,,103,114
2026-03-03,DET @ CLE,DET -2.5,spread,50,L,-50.0,,113,109
2026-03-03,BKN @ MIA,BKN +12.5,spread,50,L,-50.0,,124,98
2026-03-03,WAS @ ORL,WAS +16.0,spread,50,L,-50.0,,126,109
2026-03-03,OKC @ CHI,CHI +9.5,spread,50,W,45.45,,108,116
2026-03-04,CHA @ BOS,CHA +7.0,spread,50,W,45.45,,89,118
2026-03-04,UTA @ PHI,UTA +9.5,spread,20,W,18.18,,106,102
2026-03-04,ATL @ MIL,ATL ML,ml,30,W,39.0,+130,113,131
2026-03-04,IND @ LAC,IND +12.0,spread,50,L,-50.0,,130,107
2026-03-05,GSW @ HOU,HOU -8.5,spread,50,L,-50.0,,113,115
2026-03-05,DET @ SAS,DET ML,ml,50,L,-50.0,,121,106
2026-03-05,CHI @ PHX,CHI +10.5,spread,30,W,27.27,,103,105
2026-03-05,LAL @ DEN,LAL ML,ml,30,L,-30.0,,120,113
2026-03-05,NOP @ SAC,NOP -6.0,spread,30,W,27.27,,123,133
2026-03-06,MIA @ CHA,MIA +8.5,spread,50,W,45.45,,120,128
2026-03-06,NOP @ PHX,NOP +7.5,spread,50,W,45.45,,118,116
2026-03-06,LAC @ SAS,SAS -8.0,spread,30,L,-30.0,,116,112
2026-03-07,LAC @ MEM,MEM +6.5,spread,50,W,45.45,,120,123
2026-03-07,GSW @ OKC,GSW +15.0,spread,50,W,45.45,,104,97
2026-03-08,BOS @ CLE,BOS -0.5,spread,50,W,45.45,,98,109
2026-03-08,IND @ POR,IND +8.5,spread,50,L,-50.0,,131,111
2026-03-08,CHI @ SAC,CHI -2.5,spread,50,L,-50.0,,126,110
2026-03-09,NYK @ LAC,NYK -2.5,spread,50,L,-50.0,,126,118
2026-03-09,DEN @ OKC,DEN ML,ml,50,L,-50.0,,129,126
2026-03-09,GSW @ UTA,UTA +7.0,spread,50,W,45.45,,119,116
2026-03-10,DAL @ ATL,DAL +9.0,spread,30,L,-30.0,,124,112
2026-03-10,BOS @ SAS,BOS ML,ml,30,L,-30.0,,125,116
2026-03-10,CHI @ GSW,CHI ML,ml,50,W,45.45,,124,130
2026-03-10,IND @ SAC,IND ML,ml,50,L,-50.0,,114,109
2026-03-10,MEM @ PHI,MEM ML,ml,50,L,-50.0,,139,129
2026-03-10,CHI @ GSW,CHI +6.5,spread,30,W,27.27,,124,130
2026-03-10,PHX @ MIL,PHX ML,ml,30,W,27.27,,114,129
2026-03-10,PHX @ MIL,PHX -1.5,spread,50,W,45.45,,114,129
2026-03-11,HOU @ DEN,HOU ML,ml,50,L,-50.0,,129,93
2026-03-11,MIN @ LAC,MIN ML,ml,50,L,-50.0,,153,128
2026-03-12,DAL @ MEM,MEM ML,ml,50,L,-50.0,,112,120
2026-03-12,DEN @ SAS,SAS -5.5,spread,50,L,-50.0,,131,136
2026-03-12,BOS @ OKC,BOS +6.5,spread,50,W,45.45,,104,102
2026-03-12,CHI @ LAL,CHI +11.5,spread,30,L,-30.0,,142,130
2026-03-13,CLE @ DAL,DAL +13.0,spread,30,L,-30.0,,105,138
2026-03-13,MEM @ DET,DET -15.5,spread,50,W,45.45,,126,110
2026-03-13,NYK @ IND,NYK -13.5,spread,50,L,-50.0,,92,101
2026-03-13,CHI @ LAC,CHI +12.5,spread,30,W,27.27,,119,108
2026-03-13,PHX @ TOR,PHX +4.5,spread,30,L,-30.0,,122,115
2026-03-13,UTA @ POR,UTA +15.5,spread,30,W,27.27,,124,114
2026-03-14,BKN @ PHI,BKN +8.5,spread,50,W,45.45,,104,97
2026-03-14,DEN @ LAL,LAL +2.5,spread,50,W,45.45,,127,125
2026-03-15,DAL @ CLE,DAL +16.5,spread,50,W,45.45,,120,130
2026-03-15,IND @ MIL,IND +7.5,spread,50,L,-50.0,,134,123
2026-03-15,GSW @ NYK,NYK -13.5,spread,30,L,-30.0,,110,107
2026-03-15,UTA @ SAC,SAC -1.5,spread,30,W,27.27,,116,111
2026-03-16,SAS @ LAC,LAC +9.5,spread,30,W,27.27,,115,119
2026-03-17,MIA @ CHA,MIA +3.5,spread,30,L,-30.0,,136,106
2026-03-17,CLE @ MIL,MIL +10.0,spread,30,W,27.27,,116,123
2026-03-17,PHX @ MIN,PHX +4.0,spread,30,L,-30.0,,116,104
2026-03-18,DEN @ MEM,MEM +13.0,spread,30,W,27.27,,125,118
2026-03-19,CLE @ CHI,CHI +13.0,spread,50,W,45.45,,110,115
2026-03-19,DET @ WAS,DET -14.0,spread,30,L,-30.0,,117,130
2026-03-19,LAL @ MIA,LAL +6.0,spread,50,W,45.45,,126,134
2026-03-20,GSW @ DET,DET -6.5,spread,50,W,45.45,,115,101
2026-03-20,ATL @ HOU,ATL +4.0,spread,50,L,-50.0,,117,95
2026-03-20,TOR @ DEN,TOR +7.0,spread,50,W,45.45,,121,115
2026-03-21,MIL @ PHX,MIL +11.5,spread,30,W,27.27,,105,108
2026-03-22,POR @ DEN,POR +9.0,spread,30,L,-30.0,,128,112
2026-03-22,BKN @ SAC,BKN +4.5,spread,30,W,27.27,,126,122
2026-03-22,TOR @ PHX,TOR -2.0,spread,30,L,-30.0,,120,98
2026-03-23,LAL @ DET,DET +2.5,spread,50,W,45.45,,113,110
2026-03-23,IND @ ORL,IND +13.0,spread,30,W,27.27,,126,128
2026-03-23,BKN @ POR,BKN +14.5,spread,30,L,-30.0,,134,99
2026-03-23,MIL @ LAC,MIL +13.5,spread,50,L,-50.0,,129,96
2026-03-24,DEN @ PHX,PHX +5.0,spread,30,W,27.27,,123,125
2026-03-25,CHI @ PHI,CHI +6.5,spread,50,L,-50.0,,157,137
2026-03-25,SAS @ MEM,SAS -16.5,spread,50,W,45.45,,98,123
2026-03-25,DAL @ DEN,DAL +13.5,spread,30,W,27.27,,142,135
2026-03-25,TOR @ LAC,TOR +4.0,spread,50,L,-50.0,,119,94
2026-03-25,BKN @ GSW,BKN +12.5,spread,30,W,27.27,,109,106
2026-03-26,SAC @ ORL,SAC +15.5,spread,30,W,27.27,,121,117
2026-03-27,MIA @ CLE,MIA +5.0,spread,50,W,45.45,,103,120
2026-03-27,HOU @ MEM,HOU -12.5,spread,50,L,-50.0,,109,119
2026-03-27,NOP @ TOR,NOP +8.5,spread,50,L,-50.0,,119,106
2026-03-27,WAS @ GSW,WAS +14.0,spread,50,W,45.45,,131,126
2026-03-28,DET @ MIN,DET +2.0,spread,50,W,45.45,,87,109
2026-03-28,UTA @ PHX,UTA +16.5,spread,30,L,-30.0,,134,109
2026-03-28,SAS @ MIL,SAS -17.5,spread,30,W,27.27,,95,127
2026-03-28,SAC @ ATL,SAC +14.5,spread,30,W,27.27,,123,113
2026-03-29,LAC @ MIL,MIL +14.0,spread,50,P,0.0,,113,127
2026-03-29,WAS @ POR,WAS +15.5,spread,50,L,-50.0,,123,88
2026-03-30,BOS @ ATL,BOS +1.0,spread,50,L,-50.0,,112,102
2026-03-30,DET @ OKC,DET +13.5,spread,50,W,45.45,,114,110
2026-03-31,PHX @ ORL,PHX +2.0,spread,50,L,-50.0,,115,111
2026-03-31,DAL @ MIL,DAL +0.5,spread,30,L,-30.0,,123,99
2026-04-01,MIL @ HOU,MIL +17.0,spread,30,W,27.27,,119,113
2026-04-01,SAS @ GSW,SAS -13.0,spread,50,W,45.45,,113,127
2026-04-01,SAC @ TOR,TOR -13.0,spread,30,L,-30.0,,115,123
2026-04-02,CLE @ GSW,GSW +10.5,spread,50,W,45.45,,111,118
2026-04-02,SAS @ LAC,SAS -4.0,spread,50,W,45.45,,99,118
2026-04-02,PHX @ CHA,PHX +6.0,spread,30,L,-30.0,,127,107
2026-04-03,IND @ CHA,IND +15.5,spread,30,,,,,
2026-04-03,UTA @ HOU,HOU -17.0,spread,50,,,,,
2026-04-03,ATL @ BKN,BKN +17.0,spread,30,,,,,
